,Label,Metric,A12,P-value
0,Measurement,Precision,"(0.08750000000000002, 'Large')",8.072023591271679e-06
1,Measurement,Recall,"(0.7125, 'Large')",0.021490317747919475
2,Measurement,F-score,"(0.09999999999999998, 'Large')",1.5045973945099985e-05
3,Temperature,Precision,"(0.9175, 'Large')",6.2613960558707055e-06
4,Temperature,Recall,"(0.15000000000000002, 'Large')",0.0001524694538213556
5,Temperature,F-score,"(0.575, 'negligible')",0.4170770595205646
6,Mass,Precision,"(0.42000000000000004, 'Small')",0.38670799255173705
7,Mass,Recall,"(0.0024999999999999467, 'Large')",7.32676819947719e-08
8,Mass,F-score,"(0.0, 'Large')",6.301848221392269e-08
9,Size,Precision,"(0.22499999999999998, 'Large')",0.0029250200956793355
10,Size,Recall,"(0.665, 'negligible')",0.07421171617678754
11,Size,F-score,"(0.3225, 'Medium')",0.05478766617822591
12,Time Constraint,Precision,"(0.55125, 'negligible')",0.5792183523134169
13,Time Constraint,Recall,"(0.06999999999999995, 'Large')",3.2775134136970867e-06
14,Time Constraint,F-score,"(0.09250000000000003, 'Large')",1.0377017592246101e-05
15,Non-labelData,Precision,"(0.1875, 'Large')",0.0007215393720029193
16,Non-labelData,Recall,"(0.04249999999999998, 'Large')",7.415009630281536e-07
17,Non-labelData,F-score,"(0.04249999999999998, 'Large')",7.415009630281536e-07
18,LabelData,Precision,"(0.74, 'Large')",0.009409435392827698
19,LabelData,Recall,"(0.10499999999999998, 'Large')",1.9207108512994557e-05
20,LabelData,F-score,"(0.10499999999999998, 'Large')",1.9207108512994557e-05
21,Data,Precision,"(0.825, 'Large')",0.0004372575927067331
22,Data,Recall,"(0.16500000000000004, 'Large')",0.00028928371617217385
23,Data,F-score,"(0.16249999999999998, 'Large')",0.00026044718268417537
24,Overall,Precision,"(0.24750000000000005, 'Large')",0.00629398701178698
25,Overall,Recall,"(0.5375, 'negligible')",0.6849253186565316
26,Overall,F-score,"(0.18500000000000005, 'Large')",0.0006536629671158899
