,Label,Metric,A12,P-value
0,Measurement,Precision,"(0.2875, 'Large')",0.021490317747919475
1,Measurement,Recall,"(0.3375, 'Medium')",0.07870399677767308
2,Measurement,F-score,"(0.07250000000000001, 'Large')",3.7357821522198812e-06
3,Temperature,Precision,"(0.050000000000000044, 'Large')",1.1215531208317287e-06
4,Temperature,Recall,"(0.0, 'Large')",6.301848221392269e-08
5,Temperature,F-score,"(0.0, 'Large')",6.301848221392269e-08
6,Mass,Precision,"(0.1875, 'Large')",0.0007215393720029193
7,Mass,Recall,"(0.0, 'Large')",6.301848221392269e-08
8,Mass,F-score,"(0.0, 'Large')",6.301848221392269e-08
9,Size,Precision,"(0.32999999999999996, 'Medium')",0.06585548423829655
10,Size,Recall,"(0.26, 'Large')",0.009409435392827698
11,Size,F-score,"(0.21999999999999997, 'Large')",0.0024486973708739636
12,Time Constraint,Precision,"(0.33625000000000005, 'Medium')",0.07643094557954021
13,Time Constraint,Recall,"(0.040000000000000036, 'Large')",6.450519799610879e-07
14,Time Constraint,F-score,"(0.050000000000000044, 'Large')",1.1215531208317287e-06
15,Non-labelData,Precision,"(0.0, 'Large')",6.301848221392269e-08
16,Non-labelData,Recall,"(0.0, 'Large')",6.301848221392269e-08
17,Non-labelData,F-score,"(0.0, 'Large')",6.301848221392269e-08
18,LabelData,Precision,"(0.5449999999999999, 'negligible')",0.6263280630826087
19,LabelData,Recall,"(0.030000000000000027, 'Large')",3.6681972655029196e-07
20,LabelData,F-score,"(0.050000000000000044, 'Large')",1.1215531208317287e-06
21,Data,Precision,"(0.845, 'Large')",0.0001892785216405046
22,Data,Recall,"(0.0, 'Large')",6.301848221392269e-08
23,Data,F-score,"(0.01749999999999996, 'Large')",1.7827968013624886e-07
24,Overall,Precision,"(0.18500000000000005, 'Large')",0.0006536629671158899
25,Overall,Recall,"(0.41000000000000003, 'Small')",0.3301542612343653
26,Overall,F-score,"(0.08750000000000002, 'Large')",8.072023591271679e-06
